                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2782,                 3.9115,                 3.9713,                0.50364,                0.33824,                0.01462,                0.00364,                  3.362,                 4.4984,                 3.9934,             0.00055119,             0.00055119,             0.00055119
                      2,                  2.866,                 3.5669,                 3.3274,                0.07135,                0.13682,                0.03769,                0.00873,                 2.7579,                 4.3401,                 3.2432,              0.0010703,              0.0010703,              0.0010703
                      3,                 2.6105,                 3.3483,                 3.0326,                0.03679,                0.14706,                0.03691,                 0.0111,                 2.6208,                 3.5109,                 3.1769,              0.0015528,              0.0015528,              0.0015528
                      4,                 2.3284,                 3.0399,                 2.7323,                0.27974,                0.26442,                0.09726,                0.03117,                 2.5566,                  3.222,                 3.2616,               0.001502,               0.001502,               0.001502
                      5,                 2.1921,                 2.8676,                 2.5799,                0.23767,                0.30294,                0.18781,                0.06479,                 2.2748,                 3.4348,                 2.7835,               0.001502,               0.001502,               0.001502
                      6,                 2.0683,                 2.6973,                 2.4455,                0.29967,                0.26705,                0.22546,                0.08355,                  2.154,                 2.7049,                 2.6152,               0.001447,               0.001447,               0.001447
                      7,                  2.003,                 2.5837,                 2.3807,                 0.3241,                0.28584,                0.24127,                0.10083,                 2.0681,                 2.6487,                 2.5747,              0.0013919,              0.0013919,              0.0013919
                      8,                  1.962,                 2.5384,                 2.3133,                0.35912,                0.33765,                0.29426,                0.10698,                 2.0609,                 2.6043,                 2.5324,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.9382,                 2.4895,                  2.287,                0.37599,                0.37349,                 0.2965,                0.11663,                 2.1552,                 2.7156,                 2.5706,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.8893,                 2.4298,                 2.2528,                0.38285,                0.37592,                0.28021,                0.11527,                 1.9786,                 2.4155,                 2.4625,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.8612,                 2.3565,                 2.2051,                0.43076,                0.38483,                0.35474,                0.14498,                 2.0455,                 2.2797,                 2.4793,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.8289,                 2.3004,                  2.169,                0.45464,                 0.4486,                 0.4028,                0.17371,                 1.8963,                 2.1663,                 2.3557,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.7989,                 2.2677,                 2.1516,                0.43292,                0.46986,                0.39764,                0.16119,                 1.9575,                   2.33,                 2.3947,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.7748,                 2.1993,                 2.1295,                0.47054,                0.46081,                0.43762,                0.18733,                 1.9293,                 2.2424,                 2.3803,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.7467,                 2.1714,                 2.1044,                0.51112,                0.45077,                0.44231,                0.18945,                 1.9454,                 2.1737,                 2.4324,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.7275,                  2.156,                 2.0851,                0.52554,                0.50458,                0.51419,                 0.2392,                 1.8397,                  1.937,                 2.2757,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.7277,                 2.1608,                 2.0794,                0.52469,                0.46494,                0.48787,                0.21978,                 1.7828,                 2.0399,                 2.2433,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.6794,                 2.0961,                  2.045,                0.53496,                0.51714,                0.51851,                0.23722,                 1.9027,                 2.0287,                 2.3271,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.6772,                 2.0477,                 2.0299,                0.56649,                0.52012,                0.53929,                0.25836,                 1.7903,                 1.9049,                 2.2231,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.6808,                 2.0319,                 2.0376,                0.60698,                0.53802,                0.58264,                0.26833,                 1.8082,                  1.834,                 2.2121,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.7077,                 1.9471,                 2.1279,                 0.5417,                0.54048,                0.57673,                0.28756,                 1.7049,                 1.8329,                 2.1581,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.6595,                 1.8308,                  2.075,                0.63965,                0.53893,                0.59239,                0.28936,                  1.686,                  1.854,                 2.1222,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.6247,                 1.7456,                 2.0469,                0.61775,                0.58427,                0.62711,                 0.3097,                 1.7022,                 1.6788,                 2.1488,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.6149,                  1.693,                 2.0279,                0.66218,                0.54894,                0.63208,                0.32576,                 1.5744,                 1.6977,                 2.0318,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.5848,                 1.6807,                 1.9885,                0.66091,                0.56581,                0.65143,                0.32135,                 1.6699,                 1.6537,                 2.1043,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.5666,                 1.6484,                  1.992,                0.66142,                0.59652,                0.65254,                0.33958,                 1.6062,                 1.6257,                 2.0791,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.5414,                 1.6124,                 1.9767,                0.72664,                0.60508,                 0.6897,                 0.3562,                 1.6239,                 1.5386,                 2.0622,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.5307,                  1.552,                 1.9546,                0.66527,                0.65672,                 0.6898,                0.36705,                 1.5563,                 1.5439,                  2.015,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.5087,                 1.5457,                 1.9336,                0.70367,                0.61987,                0.69379,                0.36914,                 1.5351,                 1.5333,                 1.9991,              0.0001817,              0.0001817,              0.0001817
                     30,                  1.497,                 1.5238,                 1.9303,                 0.7154,                0.64373,                0.71397,                0.38264,                 1.5139,                 1.5008,                 1.9744,             0.00012669,             0.00012669,             0.00012669
